Term,Occurrence (ead_ID),Field,Collection,Context,Context (extended)
Commonwealth of the Philippines,umich-bhl-852085,abstract,"Finding aid for Manuel Luis Quezon papers, 1909-1944","President of the Commonwealth of the Philippines, 1935-1944; correspondence, memoranda, reports, speeches, articles, and other materials relating to his career, 1909-1944.","President of the Commonwealth of the Philippines , 1935-1944; correspondence, memoranda, reports,"
Death,umich-bhl-85517,scopecontent,"Finding aid for Stanley M. Swinton papers, 1935-1985","The Stanley Swinton papers include correspondence; dispatch files; notebooks relating to the death of Mussolini, the Malayan insurgency in the late 1940s, and the Indonesian revolutions; notes of interviews with Seni Premot of Thailand, Norodom Sihanouk of Cambodia, Ho Chi-Minh of Vietnam, Konrad Adenauer of West Germany, Joao Goulart of Brazil, Ferdinand Marcos of the Philippines, and Kim Jong Pil of South Korea.","files; notebooks relating to the Death of Mussolini, the Malayan insurgency"
Death,umich-bhl-852085,scopecontent,"Finding aid for Manuel Luis Quezon papers, 1909-1944",The papers span the period beginning with Quezon's residence in Washington DC as Resident Commissioner and ending with his death in New York State during World War II.,Commissioner and ending with his Death in New York State during
Death,umich-bhl-85481,bioghist,Finding Aid for Sligh Family Papers,"He died November 15, 1863, from injuries received from a train derailed by Confederate guerrillas.;  Though still a boy at the time of his father's death Charles R.",the time of his father's Death Charles R.
Death,umich-bhl-851981,scopecontent,"Finding aid for Interlochen Center for The Arts Records, 1927-2005","They came from several sources: the Camp office in Ann Arbor, the Tremaine family, an alumni leader, and various administrators at Interlochen, but the greatest proportion was assembled from Maddy's home and Interlochen offices, after his death, by Margaret (Peg) Stace, his long-time assistant.;  The Camp files for 1935-1945 comprise the major portion received in their original order, and they were in disarray because of frequent changes in Camp secretaries and the practice of moving the office (along with relevant files) from Ann Arbor to Interlochen and back each summer.","and Interlochen offices, after his Death , by Margaret (Peg) Stace,"
Death,umich-bhl-85548,bioghist,"Finding aid for George E. Bushnell papers, 1921-1965","Bushnell served full-time as Grand Commander until his death in 1965.;  As a Mason, Bushnell traveled widely and undertook a variety of responsibilities.","as Grand Commander until his Death in 1965.; As a Mason,"
Death,umich-bhl-85193,bioghist,Finding Aid for Philip A. Hart Papers,"Hart was United States Senator from Michigan, serving from 1959 until his death in December of 1976.",serving from 1959 until his Death in December of 1976.
Death,umich-bhl-851733,bioghist,Finding Aid for Harry Burns Hutchins papers,"; After his retirement in 1920, Hutchins became President Emeritus and continued to serve the university in various capacities until his death.",in various capacities until his Death .
Death,umich-bhl-851643,bioghist,Finding Aid for Joseph Ralston Hayden Papers,"In 1912, he became a member of the university's department of political science, where he remained, except for his service with the government, until his death on May 19, 1945.;  During World War I, Hayden was a lieutenant in the Michigan Naval Militia serving as senior officer of the University of Michigan division.","with the government, until his Death on May 19, 1945.; During"
Death,umich-bhl-851586,bioghist,"Finding aid for Hinsdale family papers, 1857-1963",Burke Aaron Hinsdale was professor of the Science and the Art of Teaching at the University of Michigan from 1888 to his death in 1900.,Michigan from 1888 to his Death in 1900.
Death,umich-bhl-851981,bioghist,"Finding aid for Interlochen Center for The Arts Records, 1927-2005","The tactic worked; the crisis passed, and amiable relations were restored (lasting until Giddings' death in 1954).",were restored (lasting until Giddings' Death in 1954).
Death,umich-bhl-85710,bioghist,"Finding aid for Josephine Fellows Gomon papers, 1913-1975","Gomon met Clarence Darrow, and their friendship continued throughout the Ossian Sweet trial in Detroit and up until the time of his death.",until the time of his Death .
Death,umich-bhl-85899,bioghist,Finding Aid for Marion L. Burton Papers,"In the spring of 1920 he was chosen to become the sixth president of the University of Michigan, and served from September 1920 until his death in February 1925.;  President Burton was known for his warm personality, organizational ability, and the power of his oratory, which was used to good effect to convince the Michigan Legislature of the university's great need for new buildings and increased funding for educational programs.",from September 1920 until his Death in February 1925.; President Burton
Death,umich-bhl-85824,bioghist,Finding Aid for Arthur J. Lacy Papers,"The court was dissolved eight months later in 1914, by the Michigan Supreme Court and Lacy again entered private practice in the law firm of Anderson, Rackham, and Wilcox, replacing the retiring Horace Rackham.;  In 1920, he was appointed head of the Detroit Civil Service Commission by Mayor James Couzens, whose private attorney he was until Couzen's death.",attorney he was until Couzen's Death .
Death,umich-bhl-9833,bioghist,Finding Aid for Edward Gajec Papers,Gajec remained active in local musical and ethnic activities until his death in 1998.,and ethnic activities until his Death in 1998.
Death,umich-bhl-9573,bioghist,Finding Aid for Walker Lee Cisler Papers,"He presided over many programs sponsored by the Economic Club of Detroit and served as a member and interim Chairman of Freuhauf Corporation's Board of Directors.;  Walker Cisler remained active in his many endeavors until his death on October 18, 1994 at the age of 97.","his many endeavors until his Death on October 18, 1994 at"
Death,umich-bhl-95106,bioghist,"Finding aid for Ivan F. Duff papers, 1947-1994","In 1986 he was awarded emeritus status by the university, and continued to see patients until shortly before his death.;  Active within his profession, he was a founding member of the National Society of Rheumatologists.","patients until shortly before his Death .; Active within his profession,"
Death,umich-bhl-93291,bioghist,"Finding aid for Fred E. Benz motion picture collection, 1929-1950",He married in 1916 to a woman named Margaret and the marriage lasted until his death in 1963.,the marriage lasted until his Death in 1963.
Death,umich-bhl-921114,subjects,Finding Aid for Department of History (University of Michigan) Senior Honors Theses,"Academic freedom.; Afro-Americans -- Michigan -- Ann Arbor.; Afro-Americans -- Michigan -- Detroit.; Agriculture -- Michigan.; Air -- Pollution -- Law and legislation -- United States.; Automobile industry and trade -- United States.; Child abuse.; Child development.; Crematoriums.; Death.; Demography.; Elections -- United States -- 1968.; Fertility, Human.; Housing -- Michigan -- Ann Arbor.; Indians of North America -- Michigan -- Claims.; Jews -- Michigan -- Detroit.; Labor -- Michigan.; New Deal, 1933-1939 -- Michigan.; American newspapers -- Michigan.; Presidents -- United States -- Election -- 1840.; Presidents -- United States -- Election -- 1968.; Strikes and lockouts -- Michigan.; Trade-unions -- Michigan.; Undertakers and undertaking -- Michigan -- Ann Arbor.; Minority college students -- Michigan -- Ann Arbor.; World War, 1939-1945 -- Education and the war.; World War, 1939-1945 -- Michigan -- Ann Arbor.; Women in the labor movement -- Michigan -- Flint.; Women -- Michigan -- Washtenaw County.; Teachers -- Michigan.; Women teachers -- Michigan.; Children -- Death -- Psychological aspects.; Women -- Michigan -- Attitudes.; Women -- Massachusetts -- Attitudes.; Women -- Education -- Michigan.; Marriage -- Michigan.; Cooperative societies -- Michigan.; Immigrants -- Michigan -- Detroit.; Irish Americans -- Michigan -- Ann Arbor.; Polar Bear Expedition.; Recombinant DNA -- Research.",teachers -- Michigan.; Children -- Death -- Psychological aspects.; Women --
Death,umich-bhl-921114,subjects,Finding Aid for Department of History (University of Michigan) Senior Honors Theses,"Academic freedom.; Afro-Americans -- Michigan -- Ann Arbor.; Afro-Americans -- Michigan -- Detroit.; Agriculture -- Michigan.; Air -- Pollution -- Law and legislation -- United States.; Automobile industry and trade -- United States.; Child abuse.; Child development.; Crematoriums.; Death.; Demography.; Elections -- United States -- 1968.; Fertility, Human.; Housing -- Michigan -- Ann Arbor.; Indians of North America -- Michigan -- Claims.; Jews -- Michigan -- Detroit.; Labor -- Michigan.; New Deal, 1933-1939 -- Michigan.; American newspapers -- Michigan.; Presidents -- United States -- Election -- 1840.; Presidents -- United States -- Election -- 1968.; Strikes and lockouts -- Michigan.; Trade-unions -- Michigan.; Undertakers and undertaking -- Michigan -- Ann Arbor.; Minority college students -- Michigan -- Ann Arbor.; World War, 1939-1945 -- Education and the war.; World War, 1939-1945 -- Michigan -- Ann Arbor.; Women in the labor movement -- Michigan -- Flint.; Women -- Michigan -- Washtenaw County.; Teachers -- Michigan.; Women teachers -- Michigan.; Children -- Death -- Psychological aspects.; Women -- Michigan -- Attitudes.; Women -- Massachusetts -- Attitudes.; Women -- Education -- Michigan.; Marriage -- Michigan.; Cooperative societies -- Michigan.; Immigrants -- Michigan -- Detroit.; Irish Americans -- Michigan -- Ann Arbor.; Polar Bear Expedition.; Recombinant DNA -- Research.",Child abuse.; Child development.; Crematoriums.; Death .; Demography.; Elections -- United
Death,umich-bhl-90180,bioghist,Finding Aid for Theodore H. Hubbell Papers,"Even after his ostensible retirement, Hubbell came to the museum daily and served as ""everybody's mentor"" until his death in 1989.","as ""everybody's mentor"" until his Death in 1989."
Death,umich-bhl-8868,bioghist,"Finding aid for Blanchard Family Papers, ca. 1835-ca. 2000","Edward Proctor, the pater familias, had settled in Franklin, Michigan (near Detroit) during the 1830s but returned to his native Massachusetts following the death of his first wife and a child in 1841.",his native Massachusetts following the Death of his first wife and
Death,umich-bhl-88180,bioghist,Finding aid for the Edward Nicholas and Dollie Ann Cole papers," After Ed Cole's death in 1977, she moved to the Briarpatch Ranch near Austin, Texas where she was a fixture in local society and continued to be involved in community and charity work.","After Ed Cole's Death in 1977, she moved to"
Death,umich-bhl-86746,scopecontent,"Finding Aid for Arthur H. Vandenberg Papers, 1884-1974",The collection covers Vandenberg's entire career with a few folders of papers post-dating his death in 1951 relating to the dedication of memorial rooms in his honor in the 1970s.,folders of papers post-dating his Death in 1951 relating to the
Death,umich-bhl-86549,subjects,Finding Aid for Chase S. Osborn Papers,"American newspapers -- Michigan -- Sault Sainte Marie.; Authors, American -- Michigan.; Conservation of natural resources -- Michigan.; Elections -- Michigan -- 1896.; Elections -- Michigan -- 1898.; Elections -- Michigan -- 1900.; Elections -- Michigan -- 1908.; Elections -- Michigan -- 1910.; Elections -- Michigan -- 1912.; Elections -- Michigan -- 1914.; Elections -- Michigan -- 1928.; Elections -- Michigan -- 1932.; Elections -- Michigan -- 1936.; Elections -- Michigan -- 1940.; Governors -- Michigan.; Governors -- Michigan.; Mines and mineral resources -- United States.; Presidents -- United States -- Election -- 1896.; Presidents -- United States -- Election -- 1900.; Presidents -- United States -- Election -- 1908.; Presidents -- United States -- Election -- 1912.; Presidents -- United States -- Election -- 1928.; Presidents -- United States -- Election -- 1932.; Presidents -- United States -- Election -- 1936.; Presidents -- United States -- Election -- 1940.; Saginaw courier herald.; Sit-down strikes -- Michigan.; Temperance -- Michigan.; Afro-Americans -- Georgia -- Work.; Bridges.; Camping.; Cement industries.; Death.; Dwellings.; Funeral rites and ceremonies.; Governors -- Michigan.; Governors -- Michigan.; Hunting -- United States.; Interiors.; Log cabins.; Lumber industry.; Political elections -- 1911-1912.; Political parades and rallies.; Veterans -- Michigan.",Work.; Bridges.; Camping.; Cement industries.; Death .; Dwellings.; Funeral rites and
Death,umich-bhl-86549,scopecontent,Finding Aid for Chase S. Osborn Papers,"Materials prior to 1889 are scarce possibly because of a fire which destroyed Osborn's home; thereafter and up to the time of his death in 1949, the Osborn papers are voluminous, documenting each of this man's varied activities.","to the time of his Death in 1949, the Osborn papers"
Death,umich-bhl-86457,subjects,Finding Aid for Jacob Ellsworth Reighard Papers,"Deaf -- Means of communication.; Death.; Evolution.; Fishes -- Great Lakes.; Fur trade -- Michigan.; Underwater photography.; Zoology.; World War, 1914-1918 -- Education and the war.; World War, 1914-1918 -- Michigan -- Ann Arbor.; Fish.; Laboratories.; Zoology.; Underwater photography.",Deaf -- Means of communication.; Death .; Evolution.; Fishes -- Great
Death,umich-bhl-86354,bioghist,Finding Aid for Dean C. Worcester Papers,The following year he published The Philippines Past and Present and continued to direct various business enterprises until his death.,various business enterprises until his Death .
Death,umich-bhl-861021,bioghist,Finding Aid for John D. Dingell Papers,"He served Detroit continuously as U.S. Representative until his death on September 19, 1955 (his seat has since that date been filled by his son, John D.","as U.S. Representative until his Death on September 19, 1955 (his"
Death,umich-bhl-851417,bioghist,"Finding aid for Eugene Gressman papers, 1935-1967","Following Murphy's death, Gressman worked with different Washington law firms.;  As a result of his work with Frank Murphy, Gressman became a national authority on practice and procedure before the United States Supreme Court.","Following Murphy's Death , Gressman worked with different"
Death,umich-bhl-85842,bioghist,"Finding aid for Eleanor M. Bumgardner papers, 1919-1967","""Lady"" Bumgardner, a Detroit native, worked as private secretary for Frank Murphy from 1933 until his death in 1949.",Murphy from 1933 until his Death in 1949.
Death,umich-bhl-85744,scopecontent,"Finding aid for Earl D. Babst papers, 1899-1967","Babst collection consists of twenty-three linear feet of papers received from Mr. Babst, and after his death, from members of his family, mainly Mrs.","Mr. Babst, and after his Death , from members of his"
Death,umich-bhl-851285,bioghist,Finding Aid for Thomas Francis Papers,"Francis remained at the University of Michigan until his death on October 1, 1969.;  Francis' career centered around the study of the causes of infectious disease, especially pneumonia, influenza, and poliomyelitis, and the development of serum treatments for these scourges.","University of Michigan until his Death on October 1, 1969.; Francis'"
Death,umich-bhl-9961,bioghist,Finding Aid for Frank R. Kennedy Papers,"The university was looking for a professor in bankruptcy and reorganization after the death of professor Edgar Durfee, and Michigan persuaded him to return.","bankruptcy and reorganization after the Death of professor Edgar Durfee, and"
Death,umich-bhl-2012143,scopecontent,"Finding aid for Netzorg Family Papers, late 1880s-2012","and Katherine; journals and diaries; published works and manuscripts of Morton J.; material related to Bracha Fuld's death; photographs; the Cellar Book Shop card catalog; also World War II-period artifacts, and Bracha's military ribbon.;  Photographs and slides depicting Fuld and Netzorg families and their friends, Netzorgs' house in Detroit, Detroit street scenes, and the Cellar Book Shop.",material related to Bracha Fuld's Death ; photographs; the Cellar Book
Death,umich-bhl-2011165,bioghist,"Finding aid for Joseph Ralston Hayden Papers, 1899-1945 [microfilm]","In 1912, he became a member of the university's department of political science, where he remained, except for his service with the government, until his death on May 19, 1945.;  During World War I, Hayden was a lieutenant in the Michigan Naval Militia serving as senior officer of the University of Michigan division.","with the government, until his Death on May 19, 1945.; During"
Death,umich-bhl-05100,bioghist,"Finding aid for American Citizens for Justice Records, 1983-2004","Injuries from the attack led to Chin's death four days later.;  Outraged by a judge's lenient sentence for these two men: a $3000 fine and 3 years probation, a group of Asian Pacific Americans formed the American Citizens for Justice on March 30, 1983, with the immediate goal of fighting for a retrial.",the attack led to Chin's Death four days later.; Outraged by
Death,umich-bhl-2011132,bioghist,"Finding aid for Richard Schneidewind papers, 1899-1914","Gabina died in 1901 giving birth to their son Richard, who later became Professor of Metallurgical Engineering at the University of Michigan.;  After Gabina's death Schneidewind returned to the U.S. In 1904 he worked at the St. Louis World's Fair where, among similar exhibits, he saw the ""Igorot Village"" exhibit that included 123 Igorots brought by the Dr. Truman K.",University of Michigan.; After Gabina's Death Schneidewind returned to the U.S.
Death,umich-bhl-0420,abstract,"Finding aid for the Albert Kahn Associates records, 1825-2014"," After Kahn's death in 1942, his architectural firm, Albert Kahn Associates, Inc., has continued to be a worldwide leader in the design of factory buildings that enhance the manufacturing process.","After Kahn's Death in 1942, his architectural firm,"
Death,umich-bhl-0420,scopecontent,"Finding aid for the Albert Kahn Associates records, 1825-2014","The collection encompasses 166 linear feet (in 180 boxes) of correspondence, transcripts of speeches, newspaper and journal articles, company files, audiovisual materials, photographs and slides, as well as 90 leather portfolios containing photographs of completed buildings, 22 albums of sample architectural materials, 131 books, and 12,731 architectural drawings in 45 flat-file drawers and 114 oversize tubes.; The narrative and visual materials in the collection illuminate the breadth of Kahn's career and highlight the work of his architectural firm, Albert Kahn Associates, Inc., which continued to develop projects after his death, and remains a living institution.","to develop projects after his Death , and remains a living"
Death,umich-bhl-0420,bioghist,"Finding aid for the Albert Kahn Associates records, 1825-2014","In 1942, just before Kahn's death, the American Institute of Architects presented him with a special award, the citation for which read:;  Master of concrete and steel, master of space and time, he stands today at the forefront of our profession in meeting the colossal demands of a Government in need.","In 1942, just before Kahn's Death , the American Institute of"
Dwellings,umich-bhl-95106,subjects,"Finding aid for Ivan F. Duff papers, 1947-1994",Older people -- Diseases.; Older people -- Dwellings.; Geriatrics -- Michigan -- Ann Arbor.; Gerontology -- Michigan -- Ann Arbor.,-- Diseases.; Older people -- Dwellings .; Geriatrics -- Michigan --
Dwellings,umich-bhl-86734,geognames,"Finding Aid for Frank Murphy Papers, 1908-1949",Detroit (Mich.); Michigan -- Politics and government -- 1922-1928.; Michigan -- Politics and government -- 1929-1938.; Philippines -- History -- 1898-1946.; United States -- Foreign relations -- Philippines.; United States -- Politics and government -- 1929-1933.; United States -- Politics and government -- 1933-1945.; United States -- Politics and government -- 1945-1953.; Detroit (Mich.); Detroit (Mich.) -- Mayors.; Detroit (Mich.) -- Newspaper industry.; Europe.; Harbor Beach (Mich.); Harbor Beach (Mich.) -- Dwellings.; Harbor Beach (Mich.) -- Galleries and museums.; Michigan -- Capitols.; Philippines -- History -- 1898-1946.; Philippines -- War damage.,(Mich.); Harbor Beach (Mich.) -- Dwellings .; Harbor Beach (Mich.) --
Dwellings,umich-bhl-86734,subjects,"Finding Aid for Frank Murphy Papers, 1908-1949","Civil service.; Courts -- Michigan.; Judges -- United States.; Labor -- Michigan.; Strikes and lockouts -- Michigan.; General Motors Corporation Sit-Down Strike, 1936-1937.; Governors -- Michigan.; Sit-down strikes -- Michigan -- Flint.; Afro-Americans -- Work.; Building dedications.; Capitols -- Michigan -- Lansing.; Clothing and dress -- 1921-1930.; Clothing and dress -- 1931-1940.; Crowds.; Demonstrations.; Dentistry -- Michigan.; Dwellings -- Michigan -- Harbor Beach.; Diseases.; Funeral rites and ceremonies.; Galleries and museums -- Michigan -- Harbor Beach.; Governors -- Michigan.; Governors -- Philippines.; Horseback riding.; Interiors.; Judges -- United States.; Hospitals -- Philippines.; Laborers.; Lying in state.; Mayors -- Michigan -- Detroit.; Military camps.; Military training.; Newspaper carriers.; Newspaper industry -- Michigan -- Detroit.; Oaths.; Offices.; Painting.; Parades and processions.; Political elections -- 1936.; Politics and government -- 1929-1938.; Politics and government -- 1939-1945.; Politics and government -- 1946-1960.; Public speaking.; Radio broadcasting -- Michigan -- Detroit.; Recreation.; Religious services.; Strikes.; Tanks (Military science); Toasting.; Voting.; War casualties.; War damage -- Philippines.; Warships.; Women.",Crowds.; Demonstrations.; Dentistry -- Michigan.; Dwellings -- Michigan -- Harbor Beach.;
Dwellings,umich-bhl-852089,subjects,"Finding aid for David Wheeler Palmer and family papers, 1807-1982","Agriculture -- Michigan -- Washtenaw County.; Art.; Artists.; Education -- Michigan -- Bridgewater.; Farm life -- Michigan -- Washtenaw County.; Schools -- Hawaii.; Spanish-American War, 1898.; Teachers -- Hawaii.; Teachers -- Michigan -- Bridgewater.; Travelers.; Carriages and coaches.; Dwellings -- Michigan -- Bridgewater.; Spanish-American War, 1898.",Bridgewater.; Travelers.; Carriages and coaches.; Dwellings -- Michigan -- Bridgewater.; Spanish-American
Dwellings,umich-bhl-852089,geognames,"Finding aid for David Wheeler Palmer and family papers, 1807-1982","Bridgewater (Mich.); Brooklyn (Mich.); Clinton (Lenawee County, Mich.); Hawaii.; Michigan -- Social life and customs -- 1841-1850.; Michigan -- Social life and customs -- 1851-1860.; Michigan -- Social life and customs -- 1861-1870.; Michigan -- Social life and customs -- 1871-1880.; Michigan -- Social life and customs -- 1881-1890.; Michigan -- Social life and customs -- 1891-1900.; Michigan -- Social life and customs -- 19th century.; Bridgewater (Mich.) -- Dwellings.; Hawaii.; Philippines.; Santa Mesa (Philippines)",19th century.; Bridgewater (Mich.) -- Dwellings .; Hawaii.; Philippines.; Santa Mesa
Dwellings,umich-bhl-85217,subjects,"Finding aid for Hubbell Family Papers, 1859-1983",Women -- Michigan -- Ann Arbor.; Women -- Michigan -- Detroit.; Women -- Michigan -- Benzonia.; Children.; Dwellings -- Michigan -- Milford.; Railroads -- Michigan.; Schools -- Michigan -- Benzonia.,-- Michigan -- Benzonia.; Children.; Dwellings -- Michigan -- Milford.; Railroads
Dwellings,umich-bhl-85217,geognames,"Finding aid for Hubbell Family Papers, 1859-1983",: Lake); Milford (Mich.) -- Dwellings.; Philippines -- History -- 1898-1946.,: Lake); Milford (Mich.) -- Dwellings .; Philippines -- History --
Dwellings,umich-bhl-86549,subjects,Finding Aid for Chase S. Osborn Papers,"American newspapers -- Michigan -- Sault Sainte Marie.; Authors, American -- Michigan.; Conservation of natural resources -- Michigan.; Elections -- Michigan -- 1896.; Elections -- Michigan -- 1898.; Elections -- Michigan -- 1900.; Elections -- Michigan -- 1908.; Elections -- Michigan -- 1910.; Elections -- Michigan -- 1912.; Elections -- Michigan -- 1914.; Elections -- Michigan -- 1928.; Elections -- Michigan -- 1932.; Elections -- Michigan -- 1936.; Elections -- Michigan -- 1940.; Governors -- Michigan.; Governors -- Michigan.; Mines and mineral resources -- United States.; Presidents -- United States -- Election -- 1896.; Presidents -- United States -- Election -- 1900.; Presidents -- United States -- Election -- 1908.; Presidents -- United States -- Election -- 1912.; Presidents -- United States -- Election -- 1928.; Presidents -- United States -- Election -- 1932.; Presidents -- United States -- Election -- 1936.; Presidents -- United States -- Election -- 1940.; Saginaw courier herald.; Sit-down strikes -- Michigan.; Temperance -- Michigan.; Afro-Americans -- Georgia -- Work.; Bridges.; Camping.; Cement industries.; Death.; Dwellings.; Funeral rites and ceremonies.; Governors -- Michigan.; Governors -- Michigan.; Hunting -- United States.; Interiors.; Log cabins.; Lumber industry.; Political elections -- 1911-1912.; Political parades and rallies.; Veterans -- Michigan.",Bridges.; Camping.; Cement industries.; Death.; Dwellings .; Funeral rites and ceremonies.;
Dwellings,umich-bhl-8654,geognames,"Finding aid for Charles A. Sink Papers, 1900-1996",Philippines -- History -- 1898-1946.; Holly (Mich.) -- Dwellings.; Lansing (Mich.) -- Capitols.,-- 1898-1946.; Holly (Mich.) -- Dwellings .; Lansing (Mich.) -- Capitols.
